Estado,Nome do Grupo,
AC,Plantões Médicos Cruzeiro do Sul - AC,
AC,Plantões Médicos Tarauacá - AC,
AC,Plantões Médicos Sena Madureira - AC,
AC,Plantões Médicos Rio Branco - AC,
AC,Plantões Médicos Brasiléia - AC,
AL,Plantões Médicos Serrana do Sertão Alagoano - AL,
AL,Plantões Médicos Alagoana do Sertão do São Francisco - AL,
AL,Plantões Médicos Santana do Ipanema - AL,
AL,Plantões Médicos Batalha - AL,
AL,Plantões Médicos Palmeira dos Índios - AL,
AL,Plantões Médicos Arapiraca - AL,
AL,Plantões Médicos Traipu - AL,
AL,Plantões Médicos Serrana dos Quilombos - AL,
AL,Plantões Médicos Mata Alagoana - AL,
AL,Plantões Médicos Litoral Norte Alagoano - AL,
AL,Plantões Médicos Maceió - AL,
AL,Plantões Médicos São Miguel dos Campos - AL,
AL,Plantões Médicos Penedo - AL,
AM,Plantões Médicos Rio Negro - AM,
AM,Plantões Médicos Japurá - AM,
AM,Plantões Médicos Alto Solimões - AM,
AM,Plantões Médicos Juruá - AM,
AM,Plantões Médicos Tefé - AM,
AM,Plantões Médicos Coari - AM,
AM,Plantões Médicos Manaus - AM,
AM,Plantões Médicos Rio Preto da Eva - AM,
AM,Plantões Médicos Itacoatiara - AM,
AM,Plantões Médicos Parintins - AM,
AM,Plantões Médicos Boca do Acre - AM,
AM,Plantões Médicos Purus - AM,
AM,Plantões Médicos Madeira - AM,
AP,Plantões Médicos Oiapoque - AP,
AP,Plantões Médicos Amapá - AP,
AP,Plantões Médicos Macapá - AP,
AP,Plantões Médicos Mazagão - AP,
BA,Plantões Médicos Barreiras - BA,ok
BA,Plantões Médicos Cotegipe - BA,ok
BA,Plantões Médicos Santa Maria da Vitória - BA,ok
BA,Plantões Médicos Juazeiro - BA,ok
BA,Plantões Médicos Paulo Afonso - BA,ok
BA,Plantões Médicos Barra - BA,ok
BA,Plantões Médicos Bom Jesus da Lapa - BA,ok
BA,Plantões Médicos Senhor do Bonfim - BA,ok
BA,Plantões Médicos Irecê - BA,ok
BA,Plantões Médicos Jacobina - BA,ok
BA,Plantões Médicos Itaberaba - BA,ok
BA,Plantões Médicos Feira de Santana - BA,ok
BA,Plantões Médicos Jeremoabo - BA,ok
BA,Plantões Médicos Euclides da Cunha - BA,ok
BA,Plantões Médicos Ribeira do Pombal - BA,ok
BA,Plantões Médicos Serrinha - BA,ok
BA,Plantões Médicos Alagoinhas - BA,ok
BA,Plantões Médicos Entre Rios - BA,ok
BA,Plantões Médicos Catu - BA,ok
BA,Plantões Médicos Santo Antônio de Jesus - BA,ok
BA,Plantões Médicos Salvador - BA,ok
BA,Plantões Médicos Boquira - BA,ok
BA,Plantões Médicos Seabra - BA,ok
BA,Plantões Médicos Jequié - BA,ok
BA,Plantões Médicos Livramento do Brumado - BA,ok
BA,Plantões Médicos Guanambi - BA,ok
BA,Plantões Médicos Brumado - BA,ok
BA,Plantões Médicos Vitória da Conquista - BA,ok
BA,Plantões Médicos Itapetinga - BA,ok
BA,Plantões Médicos Valença - BA,ok
BA,Plantões Médicos Ilhéus-Itabuna - BA,ok
BA,Plantões Médicos Porto Seguro - BA,ok
CE,Plantões Médicos Litoral de Camocim e Acaraú - CE,
CE,Plantões Médicos Ibiapaba - CE,
CE,Plantões Médicos Coreaú - CE,
CE,Plantões Médicos Meruoca - CE,
CE,Plantões Médicos Sobral - CE,
CE,Plantões Médicos Ipu - CE,
CE,Plantões Médicos Santa Quitéria - CE,
CE,Plantões Médicos Itapipoca - CE,
CE,Plantões Médicos Baixo Curu - CE,
CE,Plantões Médicos Uruburetama - CE,
CE,Plantões Médicos Médio Curu - CE,
CE,Plantões Médicos Canindé - CE,
CE,Plantões Médicos Baturité - CE,
CE,Plantões Médicos Chorozinho - CE,
CE,Plantões Médicos Cascavel - CE,
CE,Plantões Médicos Fortaleza - CE,
CE,Plantões Médicos Pacajus - CE,
CE,Plantões Médicos Sertão de Cratéus - CE,
CE,Plantões Médicos Sertão de Quixeramobim - CE,
CE,Plantões Médicos Sertão de Inhamuns - CE,
CE,Plantões Médicos Sertão de Senador Pompeu - CE,
CE,Plantões Médicos Litoral de Aracati - CE,
CE,Plantões Médicos Baixo Jaguaribe - CE,
CE,Plantões Médicos Médio Jaguaribe - CE,
CE,Plantões Médicos Serra do Pereiro - CE,
CE,Plantões Médicos Iguatu - CE,
CE,Plantões Médicos Várzea Alegre - CE,
CE,Plantões Médicos Lavras da Mangabeira - CE,
CE,Plantões Médicos Chapada do Araripe - CE,
CE,Plantões Médicos Caririaçu - CE,
CE,Plantões Médicos Barro - CE,
CE,Plantões Médicos Cariri - CE,
CE,Plantões Médicos Brejo Santo - CE,
DF,Plantões Médicos Brasília - DF,
ES,Plantões Médicos Barra de São Francisco - ES,
ES,Plantões Médicos Nova Venécia - ES,
ES,Plantões Médicos Colatina - ES,
ES,Plantões Médicos Montanha - ES,
ES,Plantões Médicos São Mateus - ES,
ES,Plantões Médicos Linhares - ES,
ES,Plantões Médicos Afonso Cláudio - ES,
ES,Plantões Médicos Santa Teresa - ES,
ES,Plantões Médicos Vitória - ES,
ES,Plantões Médicos Guarapari - ES,
ES,Plantões Médicos Alegre - ES,
ES,Plantões Médicos Cachoeiro de Itapemirim - ES,
ES,Plantões Médicos Itapemirim - ES,
GO,Plantões Médicos São Miguel do Araguaia - GO,
GO,Plantões Médicos Rio Vermelho - GO,
GO,Plantões Médicos Aragarças - GO,
GO,Plantões Médicos Porangatu - GO,
GO,Plantões Médicos Chapada dos Veadeiros - GO,
GO,Plantões Médicos Ceres - GO,
GO,Plantões Médicos Anápolis - GO,
GO,Plantões Médicos Iporá - GO,
GO,Plantões Médicos Anicuns - GO,
GO,Plantões Médicos Goiânia - GO,
GO,Plantões Médicos Vão do Paranã - GO,
GO,Plantões Médicos Entorno de Brasília - GO,
GO,Plantões Médicos Sudoeste de Goiás - GO,
GO,Plantões Médicos Vale do Rio dos Bois - GO,
GO,Plantões Médicos Meia Ponte - GO,
GO,Plantões Médicos Pires do Rio - GO,
GO,Plantões Médicos Catalão - GO,
GO,Plantões Médicos Quirinópolis - GO,
MA,Plantões Médicos Litoral Ocidental Maranhense - MA,
MA,Plantões Médicos Aglomeração Urbana de São Luís - MA,
MA,Plantões Médicos Rosário - MA,
MA,Plantões Médicos Lençóis Maranhenses - MA,
MA,Plantões Médicos Baixada Maranhense - MA,
MA,Plantões Médicos Itapecuru Mirim - MA,
MA,Plantões Médicos Gurupi - MA,
MA,Plantões Médicos Pindaré - MA,
MA,Plantões Médicos Imperatriz - MA,
MA,Plantões Médicos Médio Mearim - MA,
MA,Plantões Médicos Alto Mearim e Grajaú - MA,
MA,Plantões Médicos Presidente Dutra - MA,
MA,Plantões Médicos Baixo Parnaíba Maranhense - MA,
MA,Plantões Médicos Chapadinha - MA,
MA,Plantões Médicos Codó - MA,
MA,Plantões Médicos Coelho Neto - MA,
MA,Plantões Médicos Caxias - MA,
MA,Plantões Médicos Chapadas do Alto Itapecuru - MA,
MA,Plantões Médicos Porto Franco - MA,
MA,Plantões Médicos Gerais de Balsas - MA,
MA,Plantões Médicos Chapadas das Mangabeiras - MA,
MG,Plantões Médicos Unaí - MG,ok
MG,Plantões Médicos Paracatu - MG,ok
MG,Plantões Médicos Januária - MG,ok
MG,Plantões Médicos Janaúba - MG,ok
MG,Plantões Médicos Salinas - MG,ok
MG,Plantões Médicos Pirapora - MG,ok
MG,Plantões Médicos Montes Claros - MG,ok
MG,Plantões Médicos Grão Mogol - MG,ok
MG,Plantões Médicos Bocaiúva - MG,ok
MG,Plantões Médicos Diamantina - MG,ok
MG,Plantões Médicos Capelinha - MG,ok
MG,Plantões Médicos Araçuaí - MG,ok
MG,Plantões Médicos Pedra Azul - MG,ok
MG,Plantões Médicos Almenara - MG,ok
MG,Plantões Médicos Teófilo Otoni - MG,ok
MG,Plantões Médicos Nanuque - MG,ok
MG,Plantões Médicos Ituiutaba - MG,ok
MG,Plantões Médicos Uberlândia - MG,ok
MG,Plantões Médicos Patrocínio - MG,ok
MG,Plantões Médicos Patos de Minas - MG,ok
MG,Plantões Médicos Frutal - MG,ok
MG,Plantões Médicos Uberaba - MG,ok
MG,Plantões Médicos Araxá - MG,ok
MG,Plantões Médicos Três Marias - MG,ok
MG,Plantões Médicos Curvelo - MG,ok
MG,Plantões Médicos Bom Despacho - MG,ok
MG,Plantões Médicos Sete Lagoas - MG,ok
MG,Plantões Médicos Conceição do Mato Dentro - MG,ok
MG,Plantões Médicos Pará de Minas - MG,ok
MG,Plantões Médicos Belo Horizonte - MG,ok
MG,Plantões Médicos Itabira - MG,ok
MG,Plantões Médicos Itaguara - MG,ok
MG,Plantões Médicos Ouro Preto - MG,ok
MG,Plantões Médicos Conselheiro Lafaiete - MG,ok
MG,Plantões Médicos Guanhães - MG,ok
MG,Plantões Médicos Peçanha - MG,ok
MG,Plantões Médicos Governador Valadares - MG,ok
MG,Plantões Médicos Mantena - MG,ok
MG,Plantões Médicos Ipatinga - MG,ok
MG,Plantões Médicos Caratinga - MG,ok
MG,Plantões Médicos Aimorés - MG,ok
MG,Plantões Médicos Piuí - MG,ok
MG,Plantões Médicos Divinópolis - MG,ok
MG,Plantões Médicos Formiga - MG,ok
