estado,microregiao,link,status,data_atualizacao
PA,Marabá,https://t.me/+XPMHlx8sMO1jM2Q5,Ativo,2025-03-17 16:27:01
PA,Parauapebas,https://t.me/+lpmoU8pzGZlhZGU5,Ativo,2025-03-17 16:27:01
PA,São Félix do Xingu,https://t.me/+CkJB9lTTsHBmZWFh,Ativo,2025-03-17 16:27:01
PA,Paragominas,https://t.me/+BlczR6T6um40MTU5,Ativo,2025-03-17 16:27:01
PA,Tucuruí,https://t.me/+oYGvN2xS9KJmZTkx,Ativo,2025-03-17 16:27:01
PA,Altamira,https://t.me/+szJwE7ao1m80ZTYx,Ativo,2025-03-17 16:27:01
PA,Itaituba,https://t.me/+H4zfvfL6d8U4ZGIx,Ativo,2025-03-17 16:27:01
PA,Guamá,https://t.me/+b4STrHJLPvdlNWQx,Ativo,2025-03-17 16:27:01
PA,Tomé-Açu,https://t.me/+DR9fshbIezMwM2Mx,Ativo,2025-03-17 16:27:01
PA,Cametá,https://t.me/+a5ndsmZ4YTg4ZGQx,Ativo,2025-03-17 16:27:01
PA,Bragantina,https://t.me/+dW1EOuymMGsyODVh,Ativo,2025-03-17 16:27:01
PA,Salgado,https://t.me/+0k6QOhkbwqc5ZDcx,Ativo,2025-03-17 16:27:01
PA,Castanhal,https://t.me/+9cVC986WQZowODk5,Ativo,2025-03-17 16:27:01
PA,Belém,https://t.me/+7JKSBk9d1OwxODUx,Ativo,2025-03-17 16:27:01
PA,Arari,https://t.me/+4YdEjD6wB5k2OGMx,Ativo,2025-03-17 16:27:01
PA,Furos de Breves,https://t.me/+j6cOVp9bgVo5MTAx,Ativo,2025-03-17 16:27:01
PA,Portel,https://t.me/+voJR_cqSfsFmNDFh,Ativo,2025-03-17 16:27:01
PA,Almeirim,https://t.me/+PukHToWCXcY5Y2Zh,Ativo,2025-03-17 16:27:01
PA,Santarém,https://t.me/+ZZw42vnUWgMxZmM5,Ativo,2025-03-17 16:27:01
PA,Óbidos,https://t.me/+k68EP1uv7Bg1N2Mx,Ativo,2025-03-17 16:27:01
RR,Sudeste de Roraima,https://t.me/+Mb0v9YI4paNhYzgx,Ativo,2025-03-17 16:27:07
RR,Caracaraí,https://t.me/+1RtKgk7unIYwNjEx,Ativo,2025-03-17 16:27:08
RR,Nordeste de Roraima,https://t.me/+amY8gnkc578wMDM5,Ativo,2025-03-17 16:27:07
RR,Boa Vista,https://t.me/+LKsv3Yp6f4JkN2Yx,Ativo,2025-03-17 16:27:08
AM,Madeira,https://t.me/+EQyXuYKoaoM0OTEx,Ativo,2025-03-17 16:27:08
AM,Purus,https://t.me/+zNNGt5pGsQI5Mzgx,Ativo,2025-03-17 16:27:08
AM,Boca do Acre,https://t.me/+4Bc51YZ506QyZDAx,Ativo,2025-03-17 16:27:08
AM,Parintins,https://t.me/+x-Gl59ynRjw1ZTUx,Ativo,2025-03-17 16:27:08
AM,Itacoatiara,https://t.me/+1Twu7Z3n5GRlYmVh,Ativo,2025-03-17 16:27:08
AM,Rio Preto da Eva,https://t.me/+eCaqOCpql9JiMzUx,Ativo,2025-03-17 16:27:08
AM,Manaus,https://t.me/+agbIrZzQTjQzMmMx,Ativo,2025-03-17 16:27:08
AM,Coari,https://t.me/+3QGdzgIst4w0MmVh,Ativo,2025-03-17 16:27:08
AM,Tefé,https://t.me/+4h0zZYm7yhQ0Yjkx,Ativo,2025-03-17 16:27:08
AM,Juruá,https://t.me/+XTW7_eHkyThlY2Yx,Ativo,2025-03-17 16:27:08
AM,Alto Solimões,https://t.me/+DN4VnCzQZv41MDNh,Ativo,2025-03-17 16:27:08
AM,Japurá,https://t.me/+tWqzTfKi4K1jNjdh,Ativo,2025-03-17 16:27:08
AM,Rio Negro,https://t.me/+qWfb6WIrTGkyZWQx,Ativo,2025-03-17 16:27:08
AC,Brasiléia,https://t.me/+7MAadk0IH_A2OWYx,Ativo,2025-03-17 16:27:14
AC,Rio Branco,https://t.me/+l3E5fZNxQ05mYTA5,Ativo,2025-03-17 16:27:08
AC,Sena Madureira,https://t.me/+iASgFsXzS3VhMjEx,Ativo,2025-03-17 16:27:08
AC,Tarauacá,https://t.me/+8360ePkSZjhjZTA5,Ativo,2025-03-17 16:27:08
AC,Cruzeiro do Sul,https://t.me/+Rj8LVg3YT5YxMzUx,Ativo,2025-03-17 16:27:14
RO,Colorado do Oeste,https://t.me/+s4TL4QrHglw4NWZh,Ativo,2025-03-17 16:27:14
RO,Vilhena,https://t.me/+SykEfNiXQcUyMjJh,Ativo,2025-03-17 16:27:14
RO,Cacoal,https://t.me/+SfXlxNkfVIcxMTE5,Ativo,2025-03-17 16:27:14
RO,Alvorada D'Oeste,https://t.me/+-pJeQZre9lQ3MTBh,Ativo,2025-03-17 16:27:14
RO,Ji-Paraná,https://t.me/+dV955PR9D5U5MDdh,Ativo,2025-03-17 16:27:14
RO,Ariquemes,https://t.me/+vBcpQ7lJMfM1MzRh,Ativo,2025-03-17 16:27:14
RO,Guajará-Mirim,https://t.me/+nft6hd73_wgxMDVh,Ativo,2025-03-17 16:27:14
RO,Porto Velho,https://t.me/+7ZJLJwVZ6nllYzYx,Ativo,2025-03-17 16:27:14
